Track Name,Artists,Album Name,Album Id,Track ID,Popularity,Release Date,Duration (ms),Explicit URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
can't leave without it,21 Savage,i am > i was,007DWn799UWvfY1wwZeENR,0hPLZrnDgtKxrym1BHjDhd,,2018-12-21,205352,,0.872,0.591,6,-6.952,0,0.359,0.111,0.0,0.144,0.696,131.982
Runnin,"21 Savage, Metro Boomin",SAVAGE MODE II,6wTyGUWGCilBFZ837k5aRi,5SWnsxjhdcEDc7LJjq9UHk,,2020-10-02,195906,,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01
Glock In My Lap,"21 Savage, Metro Boomin",SAVAGE MODE II,6wTyGUWGCilBFZ837k5aRi,6pcywuOeGGWeOQzdUyti6k,,2020-10-02,193591,,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",The Forever Story (Extended Version),4rJDCELWL0fjdmN9Gn4f4g,1udwFobQ1JoOdWPQrp2b6u,,2022-10-31,229938,,0.575,0.56,5,-7.302,1,0.478,0.173,0.0,0.257,0.471,75.956
Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin, Young Thug",SAVAGE MODE II,6wTyGUWGCilBFZ837k5aRi,3ruoIF2UnoXdzK8mR61ebq,,2020-10-02,190331,,0.825,0.733,1,-5.625,0,0.0969,0.349,0.0,0.112,0.62,97.974
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage","Honestly, Nevermind",3cf4iSSKd8ffTncbtKljXw,3F5CgOj3wFlRv51JsHbxhe,,2022-06-17,218365,,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921
ball w/o you,21 Savage,i am > i was,007DWn799UWvfY1wwZeENR,50a8bKqlwDEqeiEknrzkTO,,2018-12-21,195047,,0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994
Peaches & Eggplants (feat. 21 Savage),"Young Nudy, 21 Savage",Peaches & Eggplants (feat. 21 Savage),6Hj61lLEt0UxscLniz6h74,1KUZ33cOqk3X4Ezk0aZnVp,,2023-02-27,203813,,0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014
EA (feat. 21 Savage),"Young Nudy, 21 Savage",SlimeBall 2,6PRXKEq952eaaJWMUGNx5t,68MTDH8Kk4jBEV1ah0n89s,,2017-08-11,227176,,0.451,0.876,10,-5.205,0,0.414,0.261,0.0,0.098,0.227,87.306
Space Cadet (feat. Gunna),"Metro Boomin, Gunna",NOT ALL HEROES WEAR CAPES (Deluxe),3IO8IPjwXuzPJnoaqkwYrj,1fewSx2d5KIZ04wsooEBOz,,2018-11-06,203267,,0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004
Breakin Bad (Okay),"Sleepy Hallow, Sheff G",DON'T SLEEP,0giyK2LuJ6wcfVN2QXDIlB,2KMPEI406H9G8UqiWDfuTK,,2019-10-31,131287,,0.748,0.62,1,-5.631,0,0.349,0.34,0.0,0.15,0.915,94.508
PSA,Kay Flock,The D.O.A. Tape,5DMfgmlbRD0HeUi5QQgOAD,6T5i0o62ZyfHRRHHihYJ1n,,2021-11-05,113600,,0.872,0.77,1,-6.722,1,0.538,0.0591,0.0,0.0663,0.817,147.061
PUFFIN ON ZOOTIEZ,Future,I NEVER LIKED YOU,6tE9Dnp2zInFij4jKssysL,1qMMYpVatbRITKCfq1gasi,,2022-04-29,172933,,0.883,0.657,8,-5.748,1,0.305,0.0603,0.0,0.128,0.284,124.992
I Get Luv,Sleepy Hallow,DON'T SLEEP,0giyK2LuJ6wcfVN2QXDIlB,7LoHryKSypwGyBD2av1EMO,,2019-10-31,103483,,0.809,0.444,7,-6.534,0,0.607,0.597,0.0,0.238,0.694,180.05
2 Fake,Sleepy Hallow,2 Fake,5Bfyv1u5iNiCqNcsPoit0K,6wAjbvEywvI6a4XFbgDnB2,,2019-07-26,189806,,0.903,0.542,4,-10.699,0,0.387,0.181,0.0,0.0898,0.714,138.06
